Percent_complete_for_all_immunizations,County
55.4,COLUMBIA
84.5,KING
100,SKAGIT
94.7,KING
100,LINCOLN
86.1,SPOKANE
91.3,SPOKANE
85.3,SPOKANE
91.3,PIERCE
56,ISLAND
85.7,KING
89.7,KING
94.3,WALLA WALLA
96,BENTON
92,ADAMS
89.3,PIERCE
90.4,KING
93.5,KING
92,PIERCE
,KING
94.4,KING
92.1,KITSAP
96.2,KITSAP
100,KITSAP
98.4,KING
93.9,SNOHOMISH
96,PIERCE
94.1,YAKIMA
60.3,CLARK
93.3,KITSAP
89.3,PIERCE
71.8,KING
85,SPOKANE
100,KING
90.5,CLARK
98.3,PIERCE
97.1,PIERCE
95,PIERCE
84.6,CLALLAM
70.5,KING
86.5,SNOHOMISH
91.8,CLARK
95.4,OKANOGAN
84.2,SNOHOMISH
93.3,KITSAP
93.5,YAKIMA
92.8,SPOKANE
87.3,KING
83.8,THURSTON
89.8,WHATCOM
85.7,KING
87.4,SPOKANE
91.9,GRAYS HARBOR
87.9,KING
89.8,THURSTON
93.4,KITSAP
93.8,KING
89.6,KITSAP
96.2,YAKIMA
97.3,YAKIMA
,YAKIMA
93.2,SPOKANE
88.6,SPOKANE
91.5,KING
97.3,BENTON
93.1,KING
94.7,DOUGLAS
97.7,DOUGLAS
76.1,KITTITAS
84.6,KING
79.4,KING
97.7,KING
50.4,KING
,KING
,PIERCE
95.9,KING
69.2,KING
85.4,PIERCE
86.4,PIERCE
35.7,PIERCE
90.4,WHATCOM
90.2,KING
84.8,KING
90.4,PIERCE
90.6,PIERCE
76,SKAGIT
95.3,LEWIS
85,SKAGIT
96,WALLA WALLA
96.2,PIERCE
98.6,BENTON
95.2,SNOHOMISH
52.8,SNOHOMISH
66.4,SNOHOMISH
92.6,SNOHOMISH
96.8,FRANKLIN
90.2,KING
98.8,WHATCOM
92.8,KING
98.5,YAKIMA
85.7,SNOHOMISH
92.2,PIERCE
83.1,ISLAND
94.3,PIERCE
84.7,PIERCE
82.6,KITTITAS
94.8,KITTITAS
63.1,CLARK
95.1,GRAYS HARBOR
88.8,GRAYS HARBOR
87.3,GRAYS HARBOR
98,PIERCE
85.7,KING
58.8,KING
94.9,KITSAP
